center_cls,neighbour_cls,attention,distance
background,background,0.07341592758893967,1
background,background,0.03389500081539154,2
background,background,0.017275270074605942,3
background,background,0.011608395725488663,4
background,background,0.0098397983238101,5
background,background,0.008474867790937424,6
background,background,0.007682364899665117,7
background,background,0.009023587219417095,8
background,cyst,0.00012311877799220383,1
background,cyst,0.0001841716148192063,2
background,cyst,0.00015775594511069357,3
background,cyst,0.00016071378195192665,4
background,cyst,0.00018869763880502433,5
background,cyst,0.00019430300744716078,6
background,cyst,0.0002492017229087651,7
background,cyst,0.0003020788717549294,8
background,tumor_bleeding,0.0021905824542045593,1
background,tumor_bleeding,0.002320014638826251,2
background,tumor_bleeding,0.0015701149823144078,3
background,tumor_bleeding,0.0012700650840997696,4
background,tumor_bleeding,0.00126610544975847,5
background,tumor_bleeding,0.0010884356452152133,6
background,tumor_bleeding,0.0011430761078372598,7
background,tumor_bleeding,0.001333206775598228,8
background,tumor_necrosis,0.006035974714905024,1
background,tumor_necrosis,0.0060632009990513325,2
background,tumor_necrosis,0.0040984260849654675,3
background,tumor_necrosis,0.003462789114564657,4
background,tumor_necrosis,0.0033840590622276068,5
background,tumor_necrosis,0.0030723290983587503,6
background,tumor_necrosis,0.00331284711137414,7
background,tumor_necrosis,0.003720502834767103,8
background,tumor_vital,0.052077677100896835,1
background,tumor_vital,0.05003093183040619,2
background,tumor_vital,0.03521155193448067,3
background,tumor_vital,0.030813448131084442,4
background,tumor_vital,0.029234275221824646,5
background,tumor_vital,0.028243042528629303,6
background,tumor_vital,0.028929809108376503,7
background,tumor_vital,0.0352155826985836,8
background,extrarenal,0.04593605175614357,1
background,extrarenal,0.03925079479813576,2
background,extrarenal,0.02525377832353115,3
background,extrarenal,0.020146770402789116,4
background,extrarenal,0.01783958077430725,5
background,extrarenal,0.01638832874596119,6
background,extrarenal,0.016166549175977707,7
background,extrarenal,0.01910163275897503,8
background,cortex,0.021367428824305534,1
background,cortex,0.020076589658856392,2
background,cortex,0.013290099799633026,3
background,cortex,0.01103855762630701,4
background,cortex,0.01042001973837614,5
background,cortex,0.009467851370573044,6
background,cortex,0.009776717983186245,7
background,cortex,0.011746900156140327,8
background,angioinvasion,5.651532774209045e-05,1
background,angioinvasion,4.9728769226931036e-05,2
background,angioinvasion,2.6934081688523293e-05,3
background,angioinvasion,2.173981374653522e-05,4
background,angioinvasion,2.0940193280694075e-05,5
background,angioinvasion,3.1064089853316545e-05,6
background,angioinvasion,3.017821472894866e-05,7
background,angioinvasion,2.5320410713902675e-05,8
background,mark,0.009156997315585613,1
background,mark,0.008951862342655659,2
background,mark,0.006292135454714298,3
background,mark,0.005298765376210213,4
background,mark,0.005108952987939119,5
background,mark,0.004636787809431553,6
background,mark,0.0048665874637663364,7
background,mark,0.006067957263439894,8
background,tumor_regression,0.018676070496439934,1
background,tumor_regression,0.01833842322230339,2
background,tumor_regression,0.012708953581750393,3
background,tumor_regression,0.01137729175388813,4
background,tumor_regression,0.010704862885177135,5
background,tumor_regression,0.010183782316744328,6
background,tumor_regression,0.01054069772362709,7
background,tumor_regression,0.012716864235699177,8
background,capsule,0.006196646019816399,1
background,capsule,0.005177848041057587,2
background,capsule,0.003083498915657401,3
background,capsule,0.0025963583029806614,4
background,capsule,0.0023065039422363043,5
background,capsule,0.0021163143683224916,6
background,capsule,0.0023104767315089703,7
background,capsule,0.002795502310618758,8
cyst,background,0.005710025317966938,1
cyst,background,0.006945444270968437,2
cyst,background,0.004387032240629196,3
cyst,background,0.004788270220160484,4
cyst,background,0.004923587199300528,5
cyst,background,0.00474637420848012,6
cyst,background,0.006247549317777157,7
cyst,background,0.006368989124894142,8
cyst,cyst,0.07755329459905624,1
cyst,cyst,0.028455886989831924,2
cyst,cyst,0.010710579343140125,3
cyst,cyst,0.007116758730262518,4
cyst,cyst,0.0037230858579277992,5
cyst,cyst,0.0021996349096298218,6
cyst,cyst,0.0018840031698346138,7
cyst,cyst,0.0014085019938647747,8
